graph_id,image,source,pack_id,gitqa_ref,n,m,girth,cycles,longest_cycle,crossings,ring_order,gold_cycle,foil_kind,reviewer,display_note
0,r000_circular.png,gitqa,gitqa_00,1070,26,26,9,1,,79,node_id,4 – 25 – 3 – 1 – 0 – 21 – 13 – 18 – 14,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
1,r001_circular.png,generated,00,gen-00,12,15,3,4,5,17,node_id,8 – 4 – 1,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
2,r002_circular.png,gitqa,gitqa_01,1071,26,26,3,1,,100,node_id,1 – 12 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
3,r003_circular.png,generated,01,gen-01,16,17,4,2,8,46,node_id,1 – 8 – 11 – 4,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
4,r004_circular.png,gitqa,gitqa_02,1072,26,29,3,4,,115,node_id,22 – 1 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
5,r005_circular.png,generated,02,gen-02,22,25,5,4,12,50,node_id,10 – 9 – 14 – 13 – 15,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
6,r006_circular.png,gitqa,gitqa_03,1073,26,29,4,4,,4,cycle_backbone,0 – 1 – 12 – 4,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
7,r007_circular.png,generated,03,gen-03,15,16,6,2,6,40,node_id,8 – 11 – 9 – 4 – 1 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
8,r008_circular.png,gitqa,gitqa_04,1074,26,28,3,3,,92,node_id,2 – 1 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
9,r009_circular.png,generated,04,gen-04,14,15,3,2,6,31,node_id,7 – 1 – 9,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
10,r010_circular.png,gitqa,gitqa_05,1075,26,28,3,3,,115,node_id,2 – 3 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
11,r011_circular.png,generated,05,gen-05,13,16,4,4,10,37,node_id,3 – 12 – 2 – 8,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
12,r012_circular.png,gitqa,gitqa_06,1076,26,28,3,3,,99,node_id,1 – 0 – 4,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
13,r013_circular.png,generated,06,gen-06,19,19,5,1,5,43,node_id,11 – 17 – 16 – 13 – 14,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
14,r014_circular.png,gitqa,gitqa_07,1077,26,28,3,3,,52,node_id,1 – 3 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
15,r015_circular.png,generated,07,gen-07,20,20,6,1,6,39,node_id,8 – 0 – 17 – 13 – 5 – 9,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
16,r016_circular.png,gitqa,gitqa_08,1078,26,26,7,1,,90,node_id,23 – 20 – 3 – 12 – 11 – 1 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
17,r017_circular.png,generated,08,gen-08,16,17,3,2,4,29,node_id,14 – 0 – 10,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
18,r018_circular.png,gitqa,gitqa_09,1079,26,27,6,2,,0,cycle_backbone,1 – 0 – 4 – 3 – 15 – 13,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
19,r019_circular.png,generated,09,gen-09,11,11,4,1,4,12,node_id,8 – 6 – 2 – 5,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
20,r020_circular.png,gitqa,gitqa_10,1080,26,27,3,2,,103,node_id,3 – 1 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
21,r021_circular.png,generated,10,gen-10,18,21,5,4,11,61,node_id,17 – 11 – 5 – 10 – 15,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
22,r022_circular.png,gitqa,gitqa_11,1081,26,26,5,1,,0,cycle_backbone,14 – 4 – 0 – 1 – 8,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
23,r023_circular.png,generated,11,gen-11,12,12,6,1,6,8,node_id,2 – 11 – 1 – 0 – 5 – 3,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
24,r024_circular.png,gitqa,gitqa_12,1082,26,28,5,3,,4,cycle_backbone,8 – 1 – 0 – 2 – 24,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
25,r025_circular.png,generated,12,gen-12,19,20,3,2,5,55,node_id,2 – 7 – 4,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
26,r026_circular.png,gitqa,gitqa_13,1083,26,29,3,4,,101,node_id,3 – 0 – 1,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
27,r027_circular.png,generated,13,gen-13,20,23,4,4,10,42,node_id,0 – 17 – 9 – 7,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
28,r028_circular.png,gitqa,gitqa_14,1084,26,26,5,1,,95,node_id,13 – 0 – 1 – 25 – 8,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
29,r029_circular.png,generated,14,gen-14,15,16,5,2,7,33,node_id,1 – 8 – 11 – 14 – 13,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
30,r030_circular.png,gitqa,gitqa_15,1085,26,26,3,1,,106,node_id,7 – 1 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
31,r031_circular.png,generated,15,gen-15,19,21,6,3,10,44,node_id,17 – 1 – 4 – 0 – 5 – 11,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
32,r032_circular.png,gitqa,gitqa_16,1086,26,26,6,1,,72,node_id,1 – 0 – 12 – 17 – 16 – 7,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
33,r033_circular.png,generated,16,gen-16,21,23,3,3,10,54,node_id,7 – 20 – 1,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
34,r034_circular.png,gitqa,gitqa_17,1087,26,27,4,2,,0,cycle_backbone,0 – 1 – 12 – 2,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
